country,continent,lifeExp/ death,pop/ cases,gdpPercap/recovery
Afghanistan,Asia,384,21459,2651
Albania,Europe,34,1299,960
Algeria,Africa,724,10382,6951
Angola,Africa,4,96,38
Argentina,Americas,717,24761,7568
Australia,Oceania,102,7267,6720
Austria,Europe,672,16979,15875
Bahrain,Asia,29,15731,10606
Bangladesh,Asia,975,71675,15337
Belgium,Europe,,,
Benin,Africa,,,
Bolivia,Americas,,,
Bosnia and Herzegovina,Herzegovina,,,
Botswana,Africa,,,
Brazil,Americas,,,
Bulgaria,Europe,,,
Burkina Faso,Africa,,,
Burundi,Africa,,,
Cambodia,Asia,,,
Cameroon,Africa,,,
Canada,Americas,,,
Central African Republic,Africa,,,
Chad,Africa,,,
Chile,Americas,,,
China,Asia,,,
Colombia,Americas,,,
Comoros,Africa,,,
"Congo, Dem",Africa,,,
Congo,Africa,,,
Costa Rica,Americas,,,
Cote d'Ivoire,Africa,,,
Croatia,Europe,,,
Cuba,Americas,,,
Czech Republic,Europe,,,
Denmark,Europe,,,
Djibouti,Africa,,,
Dominican Republic,Americas,,,
Ecuador,Americas,,,
Egypt,Africa,,,
El Salvador,Americas,,,
Equatorial ,Africa,,,
Eritrea,Africa,,,
Ethiopia,Africa,,,
Finland,Europe,,,
France,Europe,,,
Gabon,Africa,,,
Gambia,Africa,,,
Germany,Europe,,,
Ghana,Africa,,,
Greece,Europe,,,
Guatemala,Americas,,,
Guinea,Africa,,,
Guinea-Bissau,Africa,,,
Haiti,Americas,,,
Honduras,Americas,,,
Hong Kong,Asia,,,
Hungary,Europe,,,
Iceland,Europe,,,
India,Asia,,,
Indonesia,Asia,,,
Iran,Asia,,,
Iraq,Asia,,,
Ireland,Europe,,,
Israel,Asia,,,
Italy,Europe,,,
Jamaica,Americas,,,
Japan,Asia,,,
Jordan,Asia,,,
Kenya,Africa,,,
"Korea, Dem",Asia,,,
Korea,Asia,,,
Kuwait,Asia,,,
Lebanon,Asia,,,
Lesotho,Africa,,,
Liberia,Africa,,,
Libya,Africa,,,
Madagascar,Africa,,,
Malawi,Africa,,,
Malaysia,Asia,,,
Mali,Africa,,,
Mauritania,Africa,,,
Mauritius,Africa,,,
Mexico6,Americas,,,
Mongolia,Asia,,,
Montenegro,Europe,,,
Morocco,Africa,,,
Mozambique,Africa,,,
Myanmar,Asia,,,
Namibia,Africa,,,
Nepal,Asia,,,
Netherlands,Europe,,,
New Zealand,Oceania,,,
Nicaragua,Americas,,,
Niger,Africa,,,
Nigeria,Africa,,,
Norway,Europe,,,
Oman,Asia,,,
Pakistan,Asia,,,
Panama,Americas,,,
